Id,If you liked,Reccomendation 1,Reccomendation 2,Reccomendation 3,Reccomendation 4,Reccomendation 5
-4475938295812802739,"Trabalhando com dinheiro no Java, uma visão pragmática da nova money-api",Código Limpo - Está na hora de deixar o GDD (Gambiarra Driven Development) para trás!,Game of Loans,How This Googler Redesigned The Workweek,Google Data Center 360° Tour,A nova marca da HP foi criada (e rejeitada) 5 anos atrás
-4463029741564307314,Dries Buytaert,Dries Buytaert,Meet Aquifer: A build system for easier Drupal development,"Thunder, a Drupal distribution for publishers",How To Manage Your Drupal Patches with 'Drush Patch File' | Chromatic,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8
-4460374799273064357,"Deep Learning for Chatbots, Part 1 - Introduction",How to choose algorithms for Microsoft Azure Machine Learning,WeChat's competitor to Slack has arrived,Uber China will reportedly merge with archrival Didi Chuxing,Machine Learning Is Redefining The Enterprise In 2016,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow"
-4458371007893120981,Achievement Unlocked : AWS Certified Solutions Architect Professional,AWS Certified Solutions Architect Professional – Study Guide – Domain 1.0 – High Availability and Business Continuity (15%),How I Passed the AWS Solutions Architect Professional Exam,AWS Certified Solutions Architect Professional – Study Guide – Domain 8.0: Cloud Migration and Hybrid Architecture (10%),Google Cloud Platform's preemptible VMs are now up to 33% cheaper,Why 2016 is shaping up to be the Year of the Bot
-4434534460030275781,"The Algorithm March, Japan's Strangely Entertaining Exercise",Request lesson : How and when to use はず(=hazu) | Maggie Sensei,Japanese for dummies,Como são escrita as risadas em japonês? - Suki Desu,Learn Hiragana: The Ultimate Guide,How to Improve 8 Major Problem Areas for Japanese Learners of All Levels
-4414039190127558142,BEHOLD Amazon One - the first cargo airplane with that famous Amazon smile,Can Accenture Take Over Advertising?,GE Digital snags ServiceMax for $915 million,How AWS came to be,Two Different Sales Motions . . . .,Five things to include in your digital transformation playbook
-4399400419562742528,Seguro de Pessoas,"Bitcasa killing Drive cloud storage service on May 20, will focus on 'growing platform business'","contentId
-6878119266243511199    Google acquires Synergyse, an interactive trai...
-6878119266243511199    Google acquires Synergyse, an interactive trai...
Name: title, dtype: object",How We Migrated Data into Drupal from Four Different Sources Using the Migrate Module | Acquia,"Blockchain open sources Thunder network, paving the way for instant bitcoin transactions",Making open source data more available
-4386371945374980231,Por que o Walmart não é Walmart no Brasil,You can now use MyCokeRewards with Apple Pay (and score a free Coke),Cia. Hering sincroniza diferentes marcas em um único portal de compras,Taco Bell chega ao Brasil no segundo semestre desse ano,O início problemático dos chatbots no Facebook Messenger,From E-Commerce to Web 3.0: Let the Bots Do the Shopping
-4374331682165863764,From fine wine to lotteries: Blockchain tech takes off - BBC News,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",How Blockchain Technology Can Improve the Insurance Industry,8 things to expect from Google's biggest event of the year,Twitter adds a button to help you train its algorithm,Behold.ai launches artificially intelligent medical software to find abnormalities faster
-4358357193736101128,Uma arquitetura de referência para a Internet das Coisas - Parte 1,"""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017",Aplicação de visão computacional com OpenCV,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Put a ring on it: three smart rings with plenty of beauty and brains,The Progress of Web Apps - On the Edge
-4338308747999225618,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,Services | RaRe Technologies,Event Map For Google I/O 2016 Released,New Sessions Added To Google I/O 2016 Schedule,Deep learning software knows that a rose is a rose is a rosa rubiginosa,Google connects BigQuery to Google Drive and Sheets
-4336877432539963613,Comparing IoT Platforms: Compare 4 IoT platform for IoT projects,11 Internet of Things (IoT) Protocols You Need to Know About,NodeMCU (ESP8266) o módulo que desbanca o Arduino e facilitará a Internet das Coisas...,"Android N Developer Preview 2, out today! | Android Developers Blog",GE integra inteligência artificial Alexa em uma lâmpada circular,Amazon now has a programmable Dash Button for the IoT
-4336355219396419841,Game Of Thrones e suas lições de liderança | Endeavor Brasil,TEDxSãoPaulo,20 Percent Will Stop Reading Your Email If You Make This One Mistake,Dicas para aumentar produtividade: 14 dicas incríveis.,O seu conteúdo está preparado para as duas internets?,MOBILE TIME - Chatbots vão diminuir a força de Apple e Google
-4333957157636611418,Why Programmers Want Private Offices,Things you probably didn't know you could do with Chrome's Developer Console,Android Studio 2.0 | Android Developers Blog,"Largest botnet attack in history peaks at over 1 terabits per second, aided by Internet of Things",The Ten Commandments of Egoless Programming,My favorite people and resources to learn Android programming from
-4333056764244640444,Lentes de contato inteligentes serão o wearable definitivo,The Great Library,WATCH: Bacteria Invade Antibiotics And Transform Into Superbugs,Aplicativos do Android agora podem reagir com o ambiente | Google Discovery,Platform Overview,Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs
-4320251915347436672,Trooly is using machine learning to judge trustworthiness from digital footprints,OKR e meta: minha experiência no Runrun.it,What do Design Thinking and Marketing have in common?,Three Lessons for Design-Driven Success,Gartner Hype Cycle for Digital Marketing and Advertising,Chatbots are revolutionizing customer support
-4318248821095057296,Gmail API: New endpoints for settings,"Google and Levi's team up on a ""connected"" jacket that lets you answer calls, use maps, and more","contentId
8962537427807366481    Why It's Time to Take Google's PC Operating Sy...
8962537427807366481    Why It's Time to Take Google's PC Operating Sy...
Name: title, dtype: object",Curta do Google pode ser o primeiro filme em realidade virtual indicado ao Oscar,Ouça a música criada pela inteligência artificial do Google | Google Discovery,Skully officially admits it's over
-4303046765246718776,Bring Linux apps to the Mac Desktop with Docker,The future of SaaS hosted git repository pricing,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,Kickstarter 3D printer will print circuit boards as part of your designs,3M e o perfil intraempreendedor | Endeavor Brasil,6 New Tech Gadgets That Will Simplify Your Life in 2017
-4295420427690447901,To Use Physical Or To Use Virtual: That is the container deployment question,Kubernetes,Google made a huge change to the way Google Maps look,MOBILE TIME - Chatbots vão diminuir a força de Apple e Google,An MIT Algorithm Predicts the Future by Watching TV,Apple Releases First Preview of Swift 3.0 for Developers
-4293262855938209141,Globant Acquires L4 to Strengthen its Lead Position in the Digital Services Space,Uber lança serviço de helicóptero em SP com preços a partir de R$66 - IDG Now!,Learning at the speed of business,Two Different Sales Motions . . . .,8 things to expect from Google's biggest event of the year,Behold.ai launches artificially intelligent medical software to find abnormalities faster
-4280604324733069853,The internet of stings,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,Google Now on Tap estreia no Brasil | Google Discovery,Vídeos de testes unitários em sistemas embarcados - Embarcados,Criador do Ubuntu diz que o sistema soluciona o problema de segurança na Internet das Coisas,"Simple rolls out shared bank accounts that work for anyone, including roommates"
-4278025512576376201,#Sentaquelávemtextão,Google employees are adding 'Lady' to their job titles to fight sexism,O dia em que tive mais medo de estar errada.,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,Introducing Ask a Female Engineer,Workplace diversity in Brazil: there's still a long way to go
-4239579488204604851,Announcing pricing for Google Stackdriver,"Thunder, a Drupal distribution for publishers","Waterwheel, the Drupal SDK Ecosystem",Drupal 8.1.0 is now available,How To Manage Your Drupal Patches with 'Drush Patch File' | Chromatic,Hedron: Or my dissatisfaction with local development #Drupal
-4233177915193302509,Governo brasileiro cria manual para contratação de cloud,Two Different Sales Motions . . . .,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Wide & Deep Learning: Better Together with TensorFlow,Mobile marketing statistics 2016,GE Digital snags ServiceMax for $915 million
-4231142613423804992,Could Iceland Embrace Crypto Before Anyone Else?,"9 trends you need to watch at CES 2017, from 'AI' assistants to 'AR' devices",Million Song Dataset | scaling MIR research,Larry Page's dream of building a 'Google Island' could be coming true,Programming by poking: why MIT stopped teaching SICP,The Skills You'll Need and the Salary You Can Expect as a Data Scientist
-4228415104574264137,Up your app's sharing game with DirectShare - Google Developers,Designing smart notifications,What SWAG will Google I/O 2016 attendees take home?,"Bots, Messenger and the future of customer service","Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Revolutionize business communication with Kast
-4216050818952952471,Google acquires deep search engine Kifi to enhance its Spaces group chat app,Apple and Google Are Teaming Up to Kill Robocalls Forever,Algorithms and architecture for job recommendations,Text summarization with TensorFlow,Chrome extension brings Medium's best feature to the whole Web,Teaching machines to predict the future
-4205346868684833897,"Google launches Springboard, an AI-powered assistant for its enterprise customers","Google acquires Synergyse, an interactive training service for Google Apps",'Machine learning' is a revolution as big as the internet or personal computers,Aggregations,5 reasons your employees aren't sharing their knowledge,Machine Learning for Designers
-4195851681734441295,Testing a new Drupal 8 installation with 2 Docker commands,Home-Made Twitter and Gmail Notifications with PHP and Arduino,Drupal 8 is 1 Year Old (AND YOU GET A PRIZE!),Release Day: Extend Drupal 8 with Plugins,Drupal 8.1.0 is now available,Hedron: Or my dissatisfaction with local development #Drupal
-4163754746025598258,"Cross-industry innovations for agriculture | Deloitte Australia | Consumer & Industrial products, Technology","Consórcio: Venda de novas cotas cai 13,5% no 1º trimestre",Aplicativo gratuito permite gerenciar Consórcio Honda diretamente do celular - Notícias - Auto Estrada,Buscas on-line por carros têm expansão de 43% no 1º trimestre,"Carne artificial acabará com o agronegócio brasileiro, afirma especialista",71 erros de vocabulário e pronúncia em inglês que você faz
-4158297476631283435,"[Situation Wall] Jamboard - the whiteboard, reimagined for collaboration in the cloud",5 formas de tornar-se um Mestre em planejamento com o Portfolio for JIRA,[eBook] Enxugando a máquina - Paulo Caroli,[Webinar] OCTAGON GP: Uma ferramenta facilitadora para análise de projeto,[Kanban Boards] Is Pinnery the Better Trello?,[Videos] This fake TED Talk about nothing might be the best you've ever seen
-4145260601063545880,Why Learning Angular 2 Was Excruciating,My experience with Google's Associate Android Developer Certification,Things you probably didn't know you could do with Chrome's Developer Console,Mastercard lança plataforma de APIs abertas para soluções de pagamentos - Startupi,Hype Driven Development,How it feels to learn Javascript in 2016
-4138575697540914268,Spotify's Latest Algorithmic Playlist Is Full of Your Favorite New Music,Physicists have discovered what makes neural networks so extraordinarily powerful,"Google Save, serviço para salvar coisas da web, chega ao Brasil | Google Discovery",AI Revolution 101 - AI Revolution,Machine Learning is Fun! Part 3: Deep Learning and Convolutional Neural Networks,To Be Continued: Helping you find shows you want to continue watching
-4133169317019898816,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,4 Reasons Managers Should Spend More Time on Coaching,"Apple launches Safari Technology Preview, a browser for developers including experimental web features",Qual é o valor da área de T&D na sua empresa?,Sam Newman - Backends For Frontends,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil
-4132331404553626868,Gartner Reprint,SQL vs NoSQL: you do want to have a relational storage by default - Enterprise Craftsmanship,NoSQL Performance Benchmarks,Fábio Prado - Overview sobre índices - DBA Brasil 1.0,Top Programming Languages Trends: The Rise of Big Data,Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs
-4130193294870737688,Game of Loans,A nova marca da HP foi criada (e rejeitada) 5 anos atrás,Game of Loans,Infrequently Noted,GE Digital snags ServiceMax for $915 million,"Bitcasa killing Drive cloud storage service on May 20, will focus on 'growing platform business'"
-4127059794203205931,TPOT: A Python tool for automating data science,Probabilistic Programming,Building with Watson Technical Web Series,"At eBay, Machine Learning is Driving Innovative New Approaches to Search Experiences",Machine Learning Is No Longer Just for Experts,Algorithms and architecture for job recommendations
-4126288159365354498,NOW NEW NEXT: How growth champions create new value,How AWS came to be,Don't Waste Your Time on Networking Events,Pimp My Pitch: como fazer um Pitch poderoso,Globant acquires WAE to continue advancing in the creation of digital journeys,Neoliberalismo a ideologia na raiz de todos os nossos problemas
-4110991218639855802,5 open-source alternatives to Slack,"Secret's founder returns with Bold, a Medium for enterprise",Get ready for Google I/O 2016,"Google I/O 2016: Develop, Grow & Earn",The AI business landscape,Revolutionize business communication with Kast
-4102297002729307038,Acquia's Dev Desktop - a Drupal server for beginners,Acquia Engage Awards Finalists Announced,Paragraphs,The Home Of The Internet Of Things: Everywhere,Drush 9 Roadmap,Carros conectados impulsionarão diferentes indústrias | Sonho Seguro
-4095842175692097942,"Google just open sourced something called 'Parsey McParseface,' and it could change AI forever",Google Now on Tap estreia no Brasil | Google Discovery,YouTube's New Messenger Means You'll Never Have to Leave YouTube,"Google Duo, aplicativo de chamadas em vídeo | Google Discovery",Dial in with ease using the latest Google Calendar app for Android,App do YouTube ganha sistema de bate-papo privado | Google Discovery
-4089455027188314262,Python Is Not Java (dirtSimple.org),Why Kubernetes may be a bigger threat to Amazon than Google's cloud - TechRepublic,Firebase and Google Cloud: better together,Assista a entrevista de Linus Torvalds no TED legendada,"Google Drive grows more powerful, feature by feature - TechRepublic",Sign Up for Mike Cohn's Best Content
-4084394822880420062,Android Studio 2.2,Manage Client-Side Packages with Bower - ASP.NET documentation,"A whole new GitHub Universe: announcing new tools, forums, and features",My favorite people and resources to learn Android programming from,The technology behind preview photos,Quick Tip: Working with the JavaScript Battery API
-4070929606295451361,Adobe and Microsoft Partner in the Azure Cloud to Help Businesses Transform Customer Engagement,Democratizing AI,"The new, scary face of auto insurance",VISA to Test Blockchain Payments among Banks; a SWIFT Rival?,O Empreendedorismo no Mercado de Seguros,The new tech talent you need to succeed in digital
-4070599188332885701,Twitter faz atualização em seu aplicativo Fabric para trazer mais funcionalidades às empresas e aos desenvolvedores de apps - Startupi,Cracking the Job Interview with TensorFlow,Snapchat shares security best practices for running on GCP,Communication patterns in a Microservice world,Sam Newman - Backends For Frontends,"How to Build and Publish ES6 Modules Today, with Babel and Rollup"
-4050006690189978332,Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,Transfer Style But Not Color,Google lags behind Amazon and Microsoft's cloud in one important area,Generative Models,Services | RaRe Technologies,Tensorflow wins
-4049108709890217048,Stay focused with Google Calendar event notifications in your browser,Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery,Ouça a música criada pela inteligência artificial do Google | Google Discovery,Saying �� to Allo and Duo: new apps for smart messaging and video calling,"contentId
7078276984547732873    How Companies Are Using Machine Learning to Ge...
7078276984547732873    How Companies Are Using Machine Learning to Ge...
Name: title, dtype: object","Google just open sourced something called 'Parsey McParseface,' and it could change AI forever"
-4037032837327175755,Blaise Agüera y Arcas: How computers are learning to be creative,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,Walmart compra startup para brigar com Amazon | EXAME.com,Five things to include in your digital transformation playbook,The Difference Between Sympathy And Empathy - Expanded Consciousness,Artificial Intelligence's White Guy Problem
-4029704725707465084,Former Google career coach shares a visual trick for figuring out what to do with your life,4 Reasons Managers Should Spend More Time on Coaching,Qual é o valor da área de T&D na sua empresa?,Psicóloga de Harvard diz que as pessoas julgam você em segundos por esses critérios | Jornal do Empreendedor,Cinco competências comportamentais para você ser um bom líder,"Life Coach vs. Therapist, Learn the Difference | Tony Robbins"
-4027027091658759481,How I sped up the initial render of my Polymer app by 86%,Infrequently Noted,The Progress of Web Apps - On the Edge,Acesse a versão Material Design do YouTube | Google Discovery,JavaScript Conquered the Web. Now It's Taking Over the Desktop,WebAIM: WebAIM's WCAG 2.0 Checklist - for HTML documents
-4024778022934140027,Using behavioral data to improve customer satisfaction,Google's Cloud Machine Learning service is now in public beta,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Services | RaRe Technologies,"Feather: A Fast On-Disk Format for Data Frames for R and Python, powered by Apache Arrow","Hello, TensorFlow!"
-3980612444042641628,The future of SaaS hosted git repository pricing,Scanning hyperspace: how to tune machine learning models,CoreOS's rkt Container Engine Hits 1.0,Google Is Finally Redesigning Its Biggest Cash Cow: AdWords,Docker Cleanup Scripts Comparison,What's the Best Cloud? Probably GCP
-3964583697784528168,Caravel: Airbnb's data exploration platform - Airbnb Engineering & Data Science,2016 will be the year of conversational commerce - Chris Messina,Why Steve Jobs Was Proud to Steal Ideas,Understanding the Twitter topic Tracker,Uma recepção eficiente,Introducing JQL: A Query Language for Analytics
-3959242148361340089,Gartner Reprint,Robô acha de almoço de 12 kg a cervejas pagas pelo cidadão,SQL vs NoSQL: you do want to have a relational storage by default - Enterprise Craftsmanship,Fábio Prado - Overview sobre índices - DBA Brasil 1.0,NoSQL Performance Benchmarks,Ultrapar aprova investimento adicional de R$ 196 milhões para a Ipiranga
-3954182109690207118,Google Cloud Goes to the Farm,Imagine Discovering That Your Teaching Assistant Really Is a Robot,Deep learning software knows that a rose is a rose is a rosa rubiginosa,This year's Founders' Letter,Finding The Meaning Of Artificial Intelligence At Google I/O,"Introducing Cloud Natural Language API, Speech API open beta and our West Coast region expansion"
-3951274083288934897,Digital Leadership Is Not an Optional Part of Being a CEO,77 Startups Powering The Future Of Farming And Agribusiness,"thinkseg traz o seguro ""pague conforme você usa"" para taxistas",Accenture and Adboe team on customer enegagement,IBM makes a big shift into cognitive computing,Cafeteria compra item de Pokémon Go para aumentar movimento - e funciona
-3944300307678659798,DBA BRASIL no INTEROPMIX 2016,Internet of Things Drives Outcome-Based Business Models,My favorite people and resources to learn Android programming from,Elastic Stack 5.0.0 Released,Things you probably didn't know you could do with Chrome's Developer Console,Olli: Artificial Intelligence for the real world of connected commuting
-3920984929373505016,How to Start a Telegram Bot With PHP,Making email safer with new security warnings in Gmail,Telegram Bolsters Bot API with New Gaming Functionality,Create a Slack Bot to Interact with Your Wiki,Cloud Identity and Access Management - Google IAM,Introducing Mini Courses with MS Chatbots
-3915769742442748515,Learning to learn by gradient descent by gradient descent,Making Sense of Unstructured Data with Google Cloud NL API,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Doing Data Science Right - Your Most Common Questions Answered,"Facebook sends a loud message about Messenger bots, but will we hear it?",NASA gives away the data from an Earth-mapping spacecraft
-3912939678517879962,Jury finds Google's implementation of Java in Android was fair use,Analyst: Google's cloud business could cause the stock to soar to over $900,This year's Founders' Letter,Google's cloud platform is now a force to be reckoned with,Google: Here's how a software update knocked out our App Engine cloud | ZDNet,YouTube's New Messenger Means You'll Never Have to Leave YouTube
-3900870368325485697,"Adobe, Acquia, Episerver Lead New Forrester WCM Wave",IBM makes a big shift into cognitive computing,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,How AWS came to be,Two Different Sales Motions . . . .,Coca-Cola reportedly closes Founders startup incubator
-3886927790136130174,"Three cultures, three continents and three lessons on leadership",What Millennials Want from a New Job,Python Eats Into R as SAS Dominance Fades,"diagramas para entender, criar, inovar e empreender: 3","Salesforce buys Demandware for $2.8B, taking a big step into e-commerce",B2B Ecommerce Growing; Becoming More Like B2C
-3883591366197282127,Generative Models,The emerging Darwinian approach to analytics and augmented intelligence,Services | RaRe Technologies,Graph-powered Machine Learning at Google,Google believes its superior AI will be the key to its future,Google lags behind Amazon and Microsoft's cloud in one important area
-3876501423599932851,"The inside story of how Amazon created Echo, the next billion dollar business no one saw coming",Lady Gaga's startup Backplane burns out and sells assets,"Neuroscience confirms that to be truly happy, you will always need something more",Top 5 GCP NEXT breakout sessions on YouTube (so far),"Slack and Uber's parting proves when apps unite, it isn't always a smooth ride",Google Cloud collaborates with Kinvey for HIPAA-compliant mobile Backend-as-a-Service
-3875881534863988868,Visa lança desafio para startups de tecnologia - Startupi,Serviços na nuvem pública mais que duplicam até 2020 - B!T magazine,"Amazon tem 31% do mercado de infraestrutura em nuvem, segundo Gartner - Computação na Nuvem",Microsoft and Bank of America Merrill Lynch Collaborate to Transform Trade Finance Transacting With Azure Blockchain as a Service,Banco Original adota Bot no Messenger do Facebook,IBM makes a big shift into cognitive computing
-3870325027932266414,Customize your G Suite experience with App Maker and Recommended apps,Threaded messaging is coming to Slack,Cognizant Named a Digital Transformation Leader in the Life Science Industry,Twitter adds a button to help you train its algorithm,8 things to expect from Google's biggest event of the year,Behold.ai launches artificially intelligent medical software to find abnormalities faster
-3870015206307768313,PCI Compliance & Drupal Commerce: Which Payment Gateway Should I Choose?,"Handling context in ""outside-in""",NOW NEW NEXT: How growth champions create new value,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,Johnson & Johnson Targets 85% of Apps in Cloud by 2018,State of Drupal 2016 survey | Dries Buytaert
-3864069617285644895,How to finish 3D printed PLA objects,Guest post: building IoT applications with MQTT and Google Cloud Pub/Sub,Intel buys computer vision startup Itseez to improve navigation in self-driving cars,Peças Translúcidas,Samsung lança dispositivo para deixar carro conectado a partir de chip 4G - Link - Estadão,NodeMCU (ESP8266) o módulo que desbanca o Arduino e facilitará a Internet das Coisas...
-3850803681204406658,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,Cafeteria compra item de Pokémon Go para aumentar movimento - e funciona,77 Startups Powering The Future Of Farming And Agribusiness,"thinkseg traz o seguro ""pague conforme você usa"" para taxistas",IBM makes a big shift into cognitive computing,Digital Leadership Is Not an Optional Part of Being a CEO
-3850335246895770347,You're Asking Too Much of Chat Bots. Just Let Them Grow Up,Google isn't abandoning Hangouts for its new chat apps,"Desenvolvendo Android, por onde começar? - Android Dev BR",Building AI Is Hard-So Facebook Is Building AI That Builds AI,"Celular se torna principal meio de acesso à internet nos lares, diz IBGE",O deslize da Pepsi ajudou a Pizza Hut e KFC
-3820497466351868775,DeepMind moves to TensorFlow,"Apple acquires Turi, a machine learning company",Deep learning software knows that a rose is a rose is a rosa rubiginosa,New Sessions Added To Google I/O 2016 Schedule,Event Map For Google I/O 2016 Released,Google DeepMind researchers built a deep-learning system capable of learning from very little data.
-3810375613673461625,Growing Global Electricity Consumption Is Not Just Bitcoin's Fault,Why You Should Stop Installing Your WebDev Environment Locally - Smashing Magazine,New blog from Dries: How should you decouple Drupal?,Java Collections Cheat Sheet,Firefox edges out Microsoft globally for first time in browser wars | StatCounter Global Stats,Leveling Up Your JavaScript -
-3790313320969344469,The Great Library,Lentes de contato inteligentes serão o wearable definitivo,Platform Overview,Japanese for dummies,40 Basic Japanese conversations,How to Improve 8 Major Problem Areas for Japanese Learners of All Levels
-3785072380450959101,"Ciesp-Campinas e Lean Institute Brasil fazem evento gratuito sobre ""lean para superar a crise"" em Campinas",Unimart Shopping Campinas e Tetra Pak realizam Circuito da Reciclagem,Brazilian Government and Ericsson to innovate together for Internet of Things,Hackathon - Portal Embrapa,"Bosch, Flextronics back CropX to help farmers grow more food without wasting water",SIG Combibloc lança campanha para Américas e consolida sua proposta de valor
-3780822597455574960,Top Programming Languages Trends: The Rise of Big Data,Supercharge Java Auth with JSON Web Tokens (JWTs) | Baeldung,Test and deploy to Google App Engine with the new Maven and Gradle plugins,Gartner Reprint,Java 8 Streams - A Deeper Approach About Performance Improvement,Prisma for Android is now live for all in the Google Play Store
-3760006690401014603,"Finally, CSS In JavaScript! Meet CSSX - Smashing Magazine",Learn TypeScript in 30 Minutes,O homofóbico dentro de cada um,12 JavaScript Hacks,15 Interesting JavaScript and CSS Libraries for September 2016,Docker 1.12: Now with Built-in Orchestration!
-3759596852696130492,Prototypal Object-Oriented Programming using JavaScript,The Joel Test: 12 Steps to Better Code,I Peeked Into My Node_Modules Directory And You Won't Believe What Happened Next - friendship .js,19 Tips For Everyday Git Use,Bringing easy and fast checkout with Payment Request API | Web Updates - Google Developers,The Business Case for Progressive Web Apps
-3758287970266820834,PowerShell is open sourced and is available on Linux,The Progress of Web Apps - On the Edge,React Native v0.32.0-rc.0 released,Características de Arquiteturas Evolutivas,Gmail e Inbox by Gmail terão suporte a e-mails com design responsivo | Google Discovery,Google unveils a gigapixel 'Art Camera' that lets you view paintings down to the brushstrokes
-3751398885033121551,Gmail e Inbox by Gmail terão suporte a e-mails com design responsivo | Google Discovery,The Progress of Web Apps - On the Edge,WebAIM: WebAIM's WCAG 2.0 Checklist - for HTML documents,10 Free Screen Readers For Blind Or Visually Impaired Users - Usability Geek,Google releases keyboard for the iPhone with built-in search features,Características de Arquiteturas Evolutivas
-3751249597609107201,Google DeepMind researchers built a deep-learning system capable of learning from very little data.,DeepMind moves to TensorFlow,"Apple acquires Turi, a machine learning company",Event Map For Google I/O 2016 Released,New Sessions Added To Google I/O 2016 Schedule,Deep learning software knows that a rose is a rose is a rosa rubiginosa
-3750879736572068916,"No, Apple isn't the next BlackBerry - it's the next Microsoft",GE Digital snags ServiceMax for $915 million,Grow fast or die slow: Focusing on customer success to drive growth,Wide & Deep Learning: Better Together with TensorFlow,8 things to expect from Google's biggest event of the year,Twitter adds a button to help you train its algorithm
-3739000323288188282,Why Uber Is Killing the Bank (And What That Means for Everything Else),Segment helps businesses integrate third-party sources into their data pipelines,5 empresas que aplicam o Growth Hacking e que são sucesso,"thinkseg traz o seguro ""pague conforme você usa"" para taxistas",77 Startups Powering The Future Of Farming And Agribusiness,Cafeteria compra item de Pokémon Go para aumentar movimento - e funciona
-3734583695144530256,Google encerra Hangouts On Air e migra transmissões ao vivo para YouTube - Google,Nubank é considerada uma das marcas mais revolucionárias do mundo,Developing iOS 9 Apps with Swift - Curso grátis de Stanford no iTunes U,Fazer coisas acontecerem: Os 3 Mindsets que te ajudarão,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,Google's Hangouts still has a future: as an enterprise communication app
-3723217532224917485,11 Internet of Things (IoT) Protocols You Need to Know About,Comparing IoT Platforms: Compare 4 IoT platform for IoT projects,NodeMCU (ESP8266) o módulo que desbanca o Arduino e facilitará a Internet das Coisas...,"Android N Developer Preview 2, out today! | Android Developers Blog",One Dollar Board: Um projeto brasileiro para revolucionar a educação,Raspberry Pi with cloud vision at Google I/O - Raspberry Pi
-3716447017462787559,Squads não-suicidas - Hipsters #08,How the Communicator's Dilemma Made a 'Slack-lash' Inevitable,"Chrome 52 Beta: CSS containment, simpler performance measurement, streamable responses from service workers, and more options for web push",Gmail API: New endpoints for settings,Touch (TV Series 2012-2013),Chrome extension brings Medium's best feature to the whole Web
-3709378389941441506,CoreOS's rkt Container Engine Hits 1.0,Spotify's Event Delivery - The Road to the Cloud (Part III),Scanning hyperspace: how to tune machine learning models,What's the Best Cloud? Probably GCP,Google Is Finally Redesigning Its Biggest Cash Cow: AdWords,Snapchat shares security best practices for running on GCP
-3705763041224967421,Brasileira do rúgbi é pedida em casamento durante premiação,"contentId
6690761795935927461    Webinars | MATERA Systems
6690761795935927461    Webinars | MATERA Systems
Name: title, dtype: object",MG promove até dia 15 conferência sobre diversidade sexual e cidadania LGBT,"""Não, você não aceita a homossexualidade ainda...""",Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,Pabllo Vittar reina no novo comercial da Skol para os Jogos Olímpicos
-3700095596785790870,How to Design a Walkthrough That Users Will Read,Why porting an iOS design to Android will not work,"Dag Kittlaus, co-founder of Siri, will give the world's first demo of a next gen AI called Viv at Disrupt NY",Ordering coffee in Italy: the 10 commandments,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Apple is working on an AI system that wipes the floor with Google and everyone else
-3687965339291665275,[Report] Gráficos inúteis ou bregas do Excel (parte 2),[Report] Gráficos inúteis ou bregas do Excel (parte 1),"Facebook lança Workplace, versão da rede social para empresas",[PDUs] Webinars Gravados realizados pelo PMI São Paulo e pela FIXE,[PayPal] Postos Shell adotam pagamento no smartphone,"[Hangout] StartSe promove hangout gratuito com Caio Poli, do Nubank; inscreva-se"
-3678789633202302491,Do You Suffer From Deployment Anxiety? - DZone DevOps,New Amazon Linux Container Image for Cloud and On-Premises Workloads,Client-side ranking to more efficiently show people stories in feed,The Broken Window Theory,Production Ready Jenkins 2.0 in Two Steps with Docker,Seniority
-3675009040647936899,Ubuntu recebe suporte ao React Native e aplicativos de Android e iOS poderão chegar ao sistema,What Color is Your Function?,Anti-If: The missing patterns,Quick Tip: Working with the JavaScript Battery API,Serverless real-time architecture on AWS: there is a way !,Comparing React.js to Vue.js for dynamic tabular data
